,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL180803C00150000,2018-08-01 10:43AM EDT,150.0,50.05,0.0,0.0,0.0,-,15,0,0.00%
1,AAPL180803C00152500,2018-08-01 10:00AM EDT,152.5,46.3,0.0,0.0,0.0,-,6,0,0.00%
2,AAPL180803C00155000,2018-08-01 3:23PM EDT,155.0,45.45,0.0,0.0,0.0,-,13,0,0.00%
3,AAPL180803C00157500,2018-07-25 12:24PM EDT,157.5,36.5,33.1,34.0,0.0,-,4,5,0.00%
4,AAPL180803C00160000,2018-08-01 3:19PM EDT,160.0,40.45,0.0,0.0,0.0,-,35,0,0.00%
5,AAPL180803C00162500,2018-08-01 11:20AM EDT,162.5,37.83,0.0,0.0,0.0,-,2,0,0.00%
6,AAPL180803C00165000,2018-08-01 9:55AM EDT,165.0,33.4,0.0,0.0,0.0,-,6,0,0.00%
7,AAPL180803C00167500,2018-08-01 10:08AM EDT,167.5,30.7,0.0,0.0,0.0,-,27,0,0.00%
8,AAPL180803C00170000,2018-08-01 3:43PM EDT,170.0,31.17,0.0,0.0,0.0,-,37,0,0.00%
9,AAPL180803C00172500,2018-08-01 2:29PM EDT,172.5,27.98,0.0,0.0,0.0,-,24,0,0.00%
10,AAPL180803C00175000,2018-08-01 3:43PM EDT,175.0,26.2,0.0,0.0,0.0,-,89,0,0.00%
11,AAPL180803C00177500,2018-08-01 3:55PM EDT,177.5,24.12,0.0,0.0,0.0,-,105,0,0.00%
12,AAPL180803C00180000,2018-08-01 3:58PM EDT,180.0,21.75,0.0,0.0,0.0,-,"1,785",0,0.00%
13,AAPL180803C00182500,2018-08-01 3:56PM EDT,182.5,19.0,0.0,0.0,0.0,-,464,0,0.00%
14,AAPL180803C00185000,2018-08-01 3:59PM EDT,185.0,16.76,0.0,0.0,0.0,-,"2,188",0,0.00%
15,AAPL180803C00187500,2018-08-01 3:59PM EDT,187.5,14.15,0.0,0.0,0.0,-,"1,264",0,0.00%
16,AAPL180803C00190000,2018-08-01 3:59PM EDT,190.0,11.65,0.0,0.0,0.0,-,"9,271",0,0.00%
17,AAPL180803C00192500,2018-08-01 3:59PM EDT,192.5,9.13,0.0,0.0,0.0,-,"20,630",0,0.00%
18,AAPL180803C00195000,2018-08-01 3:59PM EDT,195.0,6.76,0.0,0.0,0.0,-,"19,560",0,0.00%
19,AAPL180803C00197500,2018-08-01 3:59PM EDT,197.5,4.45,0.0,0.0,0.0,-,"29,974",0,0.00%
20,AAPL180803C00200000,2018-08-01 3:59PM EDT,200.0,2.39,0.0,0.0,0.0,-,"81,745",0,0.00%
21,AAPL180803C00202500,2018-08-01 4:00PM EDT,202.5,1.01,0.0,0.0,0.0,-,"60,743",0,1.56%
22,AAPL180803C00205000,2018-08-01 3:59PM EDT,205.0,0.33,0.0,0.0,0.0,-,"49,773",0,6.25%
23,AAPL180803C00207500,2018-08-01 3:59PM EDT,207.5,0.1,0.0,0.0,0.0,-,"10,475",0,12.50%
24,AAPL180803C00210000,2018-08-01 3:59PM EDT,210.0,0.04,0.0,0.0,0.0,-,"14,693",0,12.50%
25,AAPL180803C00212500,2018-08-01 3:58PM EDT,212.5,0.02,0.0,0.0,0.0,-,"3,189",0,12.50%
26,AAPL180803C00215000,2018-08-01 3:57PM EDT,215.0,0.01,0.0,0.0,0.0,-,"1,908",0,25.00%
27,AAPL180803C00217500,2018-08-01 3:57PM EDT,217.5,0.01,0.0,0.0,0.0,-,257,0,25.00%
28,AAPL180803C00220000,2018-08-01 3:11PM EDT,220.0,0.01,0.0,0.0,0.0,-,204,0,25.00%
29,AAPL180803C00222500,2018-08-01 1:27PM EDT,222.5,0.01,0.0,0.0,0.0,-,14,0,25.00%
30,AAPL180803C00225000,2018-08-01 11:00AM EDT,225.0,0.01,0.0,0.0,0.0,-,12,0,25.00%
31,AAPL180803C00227500,2018-08-01 12:45PM EDT,227.5,0.01,0.0,0.0,0.0,-,2,0,25.00%
32,AAPL180803C00230000,2018-07-27 6:00PM EDT,230.0,0.01,0.0,0.02,0.0,-,81,0,65.63%
