,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL180803P00150000,2018-08-01 12:58PM EDT,150.0,0.01,0.0,0.0,0.0,-,77,0,50.00%
1,AAPL180803P00152500,2018-08-01 9:30AM EDT,152.5,0.01,0.0,0.0,0.0,-,80,0,50.00%
2,AAPL180803P00155000,2018-08-01 10:22AM EDT,155.0,0.01,0.0,0.0,0.0,-,173,0,50.00%
3,AAPL180803P00157500,2018-08-01 10:14AM EDT,157.5,0.01,0.0,0.0,0.0,-,"3,568",0,50.00%
4,AAPL180803P00160000,2018-08-01 1:05PM EDT,160.0,0.01,0.0,0.0,0.0,-,"3,470",0,50.00%
5,AAPL180803P00162500,2018-08-01 10:15AM EDT,162.5,0.01,0.0,0.0,0.0,-,380,0,50.00%
6,AAPL180803P00165000,2018-08-01 3:55PM EDT,165.0,0.01,0.0,0.0,0.0,-,"1,108",0,50.00%
7,AAPL180803P00167500,2018-08-01 3:55PM EDT,167.5,0.01,0.0,0.0,0.0,-,626,0,50.00%
8,AAPL180803P00170000,2018-08-01 3:59PM EDT,170.0,0.01,0.0,0.0,0.0,-,"3,322",0,50.00%
9,AAPL180803P00172500,2018-08-01 3:57PM EDT,172.5,0.01,0.0,0.0,0.0,-,"3,787",0,50.00%
10,AAPL180803P00175000,2018-08-01 3:57PM EDT,175.0,0.01,0.0,0.0,0.0,-,"2,413",0,50.00%
11,AAPL180803P00177500,2018-08-01 3:57PM EDT,177.5,0.02,0.0,0.0,0.0,-,"2,461",0,50.00%
12,AAPL180803P00180000,2018-08-01 3:59PM EDT,180.0,0.02,0.0,0.0,0.0,-,"9,796",0,25.00%
13,AAPL180803P00182500,2018-08-01 3:58PM EDT,182.5,0.04,0.0,0.0,0.0,-,"4,141",0,25.00%
14,AAPL180803P00185000,2018-08-01 3:59PM EDT,185.0,0.03,0.0,0.0,0.0,-,"14,348",0,25.00%
15,AAPL180803P00187500,2018-08-01 3:58PM EDT,187.5,0.04,0.0,0.0,0.0,-,"7,789",0,25.00%
16,AAPL180803P00190000,2018-08-01 3:59PM EDT,190.0,0.06,0.0,0.0,0.0,-,"19,899",0,25.00%
17,AAPL180803P00192500,2018-08-01 3:59PM EDT,192.5,0.07,0.0,0.0,0.0,-,"11,921",0,12.50%
18,AAPL180803P00195000,2018-08-01 3:59PM EDT,195.0,0.14,0.0,0.0,0.0,-,"38,693",0,12.50%
19,AAPL180803P00197500,2018-08-01 3:59PM EDT,197.5,0.32,0.0,0.0,0.0,-,"33,332",0,6.25%
20,AAPL180803P00200000,2018-08-01 4:00PM EDT,200.0,0.78,0.0,0.0,0.0,-,"37,323",0,3.13%
21,AAPL180803P00202500,2018-08-01 3:59PM EDT,202.5,1.88,0.0,0.0,0.0,-,"10,643",0,0.00%
22,AAPL180803P00205000,2018-08-01 3:59PM EDT,205.0,3.65,0.0,0.0,0.0,-,"2,639",0,0.00%
23,AAPL180803P00207500,2018-08-01 3:50PM EDT,207.5,6.33,0.0,0.0,0.0,-,338,0,0.00%
24,AAPL180803P00210000,2018-08-01 3:58PM EDT,210.0,8.35,0.0,0.0,0.0,-,262,0,0.00%
25,AAPL180803P00212500,2018-08-01 11:30AM EDT,212.5,11.2,0.0,0.0,0.0,-,90,0,0.00%
26,AAPL180803P00215000,2018-08-01 3:50PM EDT,215.0,13.75,0.0,0.0,0.0,-,100,0,0.00%
27,AAPL180803P00217500,2018-08-01 3:50PM EDT,217.5,16.2,0.0,0.0,0.0,-,21,0,0.00%
28,AAPL180803P00220000,2018-08-01 3:50PM EDT,220.0,18.75,0.0,0.0,0.0,-,69,0,0.00%
29,AAPL180803P00222500,2018-08-01 3:50PM EDT,222.5,21.25,0.0,0.0,0.0,-,35,0,0.00%
30,AAPL180803P00225000,2018-08-02 1:07AM EDT,225.0,23.65,0.0,0.0,0.0,-,73,0,0.00%
31,AAPL180803P00227500,2018-08-02 1:07AM EDT,227.5,26.15,0.0,0.0,0.0,-,21,0,0.00%
32,AAPL180803P00230000,2018-08-02 1:07AM EDT,230.0,30.1,0.0,0.0,0.0,-,150,0,0.00%
